ultimaAtualizacaoCadastral,situacao,sequencialImovel,proprietarioPrincipal,natureza,inscricaoImobiliaria,enderecoImovelNomeLogradouro,enderecoImovelMunicipio,enderecoImovelEstado,enderecoImovelComplemento,enderecoImovelCodigoLogradouro,enderecoImovelCep,enderecoImovelBairro,enderecoCorrespondenciaNumero,enderecoCorrespondenciaNomeLogradouro,enderecoCorrespondenciaMunicipio,enderecoCorrespondenciaEstado,enderecoCorrespondenciaComplemento,enderecoCorrespondenciaCep,enderecoCorrespondenciaBairro,documentoProprietario,cepProprietario,topografiaLote,testadaPrincipalLote,testadaFicticiaLote,superficieLote,muradoLote,formatoLote,comCalcadaLote,areaLote,tipoEmpreendimentoMultipla,quantidadePavimentosMultipla,nomeSuperContemMultipla,nomeEdificacaoMultipla,areaTotalConstruidaMultipla,anoConstrucaoMultipla,tipoEstruturaSimples,tipoEmpreendimentoSimples,tipoConstrucaoSimples,padraoConstrucaoSimples,numeroHabiteseSimples,fracaoIdealSimples,estadoConservacaoSimples,dataCadastroPrefeituraSimples,coeficienteDepreciacao,areaTotalConstruidaSimples,valorVenal,valorAreaConstruidaM2,v0ValorTestadaFicticia,tipoAliquotaImposto,regimeTributacaoTLP,regimeTributacaoIPTU,patrimonio,aliquotaImposto,situacaoPavimentacao,distrito,setor,quadra,face,lote,sequencial,longitude,latitude
29/11/2015,Ativo,1089811,MUNICIPIO DO RECIFE,Predial,1.1450.350.04.0240.0001-9,RUA DO VEIGA,RECIFE,PE,,63983,50040110,SANTO AMARO,925,CAIS DO APOLO,RECIFE,PE,,50030230,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,24.95,Seca,Sim,Irregular,Sim,1069.69,Edifício Comercial/Serviços,2,,,1436.9,1946,Alvenaria,Galpão,Galpão,Simples,79999946,0.79121,Regular,01/10/1946,0.6,1136.9,321439.67,327.41,4223.01,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Municipal com uso próprio,0.0000,Pavimentado,1,1450,350,4,240,1089811,-34.878862,-8.052691
29/11/2015,Ativo,1090500,MUNICIPIO DO RECIFE,Predial,1.1450.370.02.0145.0000-5,AV CRUZ CABUGA,RECIFE,PE,00S/N,18481,50040000,SANTO AMARO,,AV CRUZ CABUGA,RECIFE,PE,00S/N,50040000,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,25.00,Seca,Sim,Irregular,Sim,750.00,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Simples,,1.0,Bom,01/01/1983,0.8862,489.0,622102.09,392.92,18073.18,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1450,370,2,145,1090500,-34.881659,-8.053626
29/11/2015,Ativo,1092170,MUNICIPIO DO RECIFE,Predial,1.1450.380.01.0200.0000-8,RUA DOS PALMARES,RECIFE,PE,,75108,50100060,SANTO AMARO,253,RUA DOS PALMARES,RECIFE,PE,,50100060,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,12.00,Seca,Sim,Irregular,Sim,348.00,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Médio,,1.0,Bom,01/01/1939,0.8862,261.22,267429.52,559.13,11694.47,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Municipal com uso próprio,0.0000,Pavimentado,1,1450,380,1,200,1092170,-34.883684,-8.052982
29/11/2015,Ativo,1097180,MUNICIPIO DO RECIFE,Predial,1.1455.040.02.0270.0000-4,RUA BERNARDO VIEIRA DE MELO,RECIFE,PE,,11347,50030250,RECIFE,925,CAIS DO APOLO,RECIFE,PE,,50030230,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,27.00,Seca,Sim,Irregular,Sim,891.00,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Médio,,1.0,Bom,01/01/1939,0.6,800.0,462823.56,549.97,7028.56,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0000,Parcialmente Pavimentado,1,1455,40,2,270,1097180,-34.870788,-8.056241
29/11/2015,Ativo,1097199,MUNICIPIO DO RECIFE,Predial,1.1455.040.02.0310.0000-5,RUA BERNARDO VIEIRA DE MELO,RECIFE,PE,,11347,50030250,RECIFE,925,CAIS DO APOLO,RECIFE,PE,,50030230,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,51.50,Seca,Sim,Irregular,Sim,1917.50,,,,,,,Alvenaria,Casa,Casa,Superior,,1.0,Bom,01/01/1939,0.6,3718.0,1900854.36,672.38,7028.56,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0000,Parcialmente Pavimentado,1,1455,40,2,310,1097199,-34.870828,-8.056596
29/11/2015,Ativo,1097369,MUNICIPIO DO RECIFE,Predial,1.1455.040.04.0135.0000-6,RUA DO BRUM,RECIFE,PE,,12580,50030260,RECIFE,925,CAIS DO APOLO,RECIFE,PE,,50030230,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,59.00,Seca,Sim,Irregular,Sim,1889.50,,,,,,,Alvenaria,Casa,Casa,Superior,,1.0,Bom,01/01/1939,0.6,2085.0,1269397.54,672.38,7028.56,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0000,Pavimentado,1,1455,40,4,135,1097369,-34.871156,-8.056558
29/11/2015,Ativo,1097377,MUNICIPIO DO RECIFE,Predial,1.1455.040.04.0180.0000-1,RUA DO BRUM,RECIFE,PE,,12580,50030260,RECIFE,925,CAIS DO APOLO,RECIFE,PE,,50030230,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,26.00,Seca,Sim,Irregular,Sim,858.00,,,,,,,Alvenaria,Galpão,Galpão,Simples,,1.0,Regular,01/01/1939,0.6,962.0,380439.02,327.41,7028.56,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0000,Pavimentado,1,1455,40,4,180,1097377,-34.871106,-8.0562
29/11/2015,Ativo,1099418,FUNDACAO DE CULTURA CIDADE DO RECIFE,Predial,1.1455.145.02.0328.0000-1,RUA DO APOLO,RECIFE,PE,,6572,50030220,RECIFE,121,RUA DO APOLO,RECIFE,PE,,50030220,RECIFE,11.508.942/0001-00,50060080,Plana,Plana,17.60,Seca,Sim,Irregular,Sim,1369.28,,,,,,,Concreto,Edificação Especial,Edificação Especial,Médio,,1.0,Bom,01/01/1939,0.6,1316.8,592039.92,549.97,6201.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1455,145,2,328,1099418,-34.872751,-8.061363
29/11/2015,Ativo,1100505,MUNICIPIO DO RECIFE,Predial,1.1455.156.02.0146.0001-4,RUA DO BOM JESUS,RECIFE,PE,,11894,50030170,RECIFE,237,RUA DO BOM JESUS,RECIFE,PE,,50030170,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,7.50,Seca,Não,Irregular,Sim,136.50,Edifício Comercial/Serviços,4,,,273.0,1939,Concreto,Loja,Loja <= 4 Pavimentos,Médio,,0.5,Bom,01/01/1939,0.6,273.0,125009.47,641.75,7028.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1455,156,2,146,1100505,-34.871317,-8.061576
29/11/2015,Ativo,1100513,MUNICIPIO DO RECIFE,Predial,1.1455.156.02.0155.0000-5,RUA DO BOM JESUS,RECIFE,PE,,11894,50030170,RECIFE,227,RUA DO BOM JESUS,RECIFE,PE,,50030170,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,8.50,Seca,Não,Irregular,Sim,172.00,,,,,,,Concreto,Sala,Sala > 4 Pavimentos,Médio,,1.0,Bom,01/01/1939,0.6,860.0,331930.16,549.97,7028.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1455,156,2,155,1100513,-34.871347,-8.06164
29/11/2015,Ativo,1100629,MUNICIPIO DO RECIFE,Predial,1.1455.156.02.0175.0003-7,RUA DO BOM JESUS,RECIFE,PE,,11894,50030170,RECIFE,203,RUA DO BOM JESUS,RECIFE,PE,,50030170,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,5.00,Seca,Sim,Retangular,Sim,112.50,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Médio,,1.0,Bom,01/01/1939,0.6,306.44,148134.37,641.68,7028.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1455,156,2,175,1100629,-34.871429,-8.061806
29/11/2015,Ativo,1100645,MUNICIPIO DO RECIFE,Predial,1.1455.156.02.0180.0000-3,RUA DO BOM JESUS,RECIFE,PE,,11894,50030170,RECIFE,197,RUA DO BOM JESUS,RECIFE,PE,,50030170,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,4.60,Seca,Sim,Irregular,Sim,105.93,,,,,,,Alvenaria,Templo religioso,Edificação Especial,Simples,,1.0,Bom,01/01/1939,0.6,297.53,123491.05,534.27,7028.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1455,156,2,180,1100645,-34.871448,-8.061846
29/11/2015,Ativo,1100750,MUNICIPIO DO RECIFE,Predial,1.1455.156.02.0230.0005-9,RUA DO BOM JESUS,RECIFE,PE,LOJA 4AND,11894,50030170,RECIFE,143,RUA DO BOM JESUS,RECIFE,PE,LOJA 4AND,50030170,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,5.00,Seca,Sim,Irregular,Sim,120.00,Edifício Comercial/Serviços,4,,,400.0,1939,Alvenaria,Loja,Loja <= 4 Pavimentos,Simples,,0.17995,Bom,01/01/1939,0.6,71.98,25414.33,458.43,7028.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1455,156,2,230,1100750,-34.871653,-8.062279
29/11/2015,Ativo,1108875,MUNICIPIO DO RECIFE,Predial,1.1460.070.01.0405.0000-0,AV NORTE MIGUEL ARRAES DE ALENCAR,RECIFE,PE,,46540,50100000,SANTO AMARO,1195,AV NORTE MIGUEL ARRAES DE ALENCAR,RECIFE,PE,,50100000,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,7.45,Seca,Sim,Irregular,Sim,234.67,,,,,,,Alvenaria,Casa,Casa,Simples,,1.0,Bom,01/01/1944,0.6,103.66,80299.30,327.41,7855.27,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Municipal com uso próprio,0.0000,Pavimentado,1,1460,70,1,405,1108875,-34.882873,-8.044018
29/11/2015,Ativo,1152041,MUNICIPIO DO RECIFE,Territorial,1.1490.265.03.0020.0000-3,RUA AMARO BEZERRA Q-PRACA,RECIFE,PE,,0,52010150,DERBY,925,CAI DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,99.10,Seca,Sim,Irregular,Sim,1935.84,,,,,,,,,,,,,,,,,914039.78,,11694.47,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1490,265,3,20,1152041,-34.900348,-8.054936
29/11/2015,Ativo,1152050,MUNICIPIO DO RECIFE,Territorial,1.1490.270.04.0025.0000-8,PRC DO DERBY,RECIFE,PE,,0,52010140,DERBY,925,CAI DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,66.00,Seca,Sim,Irregular,Sim,840.00,,,,,,,,,,,,,,,,,459826.56,,11694.47,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1490,270,4,25,1152050,,
29/11/2015,Ativo,1154567,MUNICIPIO DO RECIFE,Territorial,1.1490.330.04.0035.0000-4,PRC DO DERBY,RECIFE,PE,,0,52010140,DERBY,925,CAI DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,80.00,Seca,Sim,Irregular,Sim,2145.00,,,,,,,,,,,,,,,,,883049.43,,11694.47,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1490,330,4,35,1154567,-34.900533,-8.057031
29/11/2015,Ativo,1156152,MUNICIPIO DO RECIFE,Territorial,1.1490.405.02.0195.0000-2,PRC DO DERBY Q--- L-1B,RECIFE,PE,,0,52010140,DERBY,925,CAI DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,29.14,Seca,Sim,Irregular,Sim,3331.34,,,,,,,,,,,,,,,,,539933.68,,11694.47,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1490,405,2,195,1156152,-34.902243,-8.056105
29/11/2015,Ativo,1157248,MUNICIPIO DO RECIFE,Territorial,1.1495.016.01.0001.0004-5,RUA PEDRO AFONSO,RECIFE,PE,,0,50100220,SANTO AMARO,925,C DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,6.00,Seca,Sim,Irregular,Sim,40.00,,,,,,,,,,,,,,,,,6276.96,,2879.34,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1495,16,1,1,1157248,,
29/11/2015,Ativo,1157329,MUNICIPIO DO RECIFE,Predial,1.1495.016.01.3404.0000-2,RUA PEDRO AFONSO,RECIFE,PE,EDIF ESPECIAL LDIR,50016,50100220,SANTO AMARO,293,RUA PEDRO AFONSO,RECIFE,PE,EDIF ESPECIAL LDIR,50100220,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,0.00,Seca,Sim,Irregular,Sim,0.00,,,,,,,Alvenaria,Casa,Casa,Simples,,1.0,Bom,01/01/1971,0.7849,75.0,25032.49,327.41,2879.34,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1495,16,1,3404,1157329,-34.88547,-8.046874
29/11/2015,Ativo,1157353,MUNICIPIO DO RECIFE,Territorial,1.1495.016.01.3513.0000-4,RUA PEDRO AFONSO,RECIFE,PE,,0,50100220,SANTO AMARO,925,C DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,4.00,Seca,Sim,Irregular,Sim,45.00,,,,,,,,,,,,,,,,,6276.96,,2879.34,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1495,16,1,3513,1157353,,
29/11/2015,Ativo,1157361,MUNICIPIO DO RECIFE,Predial,1.1495.016.05.0031.0000-6,RUA DO POMBAL,RECIFE,PE,,52000,50100170,SANTO AMARO,455,RUA DO POMBAL,RECIFE,PE,,50100170,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,0.00,Seca,Sim,Irregular,Sim,0.00,,,,,,,Alvenaria,Casa,Casa,Superior,,1.0,Bom,01/01/1972,0.7946,1626.0,1358908.08,672.38,5374.78,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1495,16,5,31,1157361,-34.882969,-8.048741
29/11/2015,Ativo,1157370,MUNICIPIO DO RECIFE,Territorial,1.1495.016.05.3367.0000-8,RUA DO POMBAL,RECIFE,PE,,0,50100170,SANTO AMARO,925,C DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,11.80,Seca,Sim,Irregular,Sim,1623.14,,,,,,,,,,,,,,,,,104109.49,,5374.78,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1495,16,5,3367,1157370,-34.8831,-8.048887
29/11/2015,Ativo,1157396,MUNICIPIO DO RECIFE,Territorial,1.1495.016.06.1950.0000-3,RUA DOS PALMARES Q-GLB-A,RECIFE,PE,,0,50100060,SANTO AMARO,925,C DO APOLO,RECIFE,PE,,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,82.56,Seca,Sim,Irregular,Sim,11902.00,,,,,,,,,,,,,,,,,1598400.16,,11694.47,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1495,16,6,1950,1157396,-34.884968,-8.049379
29/11/2015,Ativo,1160737,EMPRESA DE URBANIZACAO DO RECIFE,Predial,1.1495.071.08.0985.0000-2,RUA AFONSO PENA,RECIFE,PE,,1082,50050130,SANTO AMARO,550,RUA AFONSO PENA,RECIFE,PE,,50050130,SANTO AMARO,09.945.742/0001-64,50770290,Plana,Plana,59.35,Seca,Sim,Irregular,Sim,4459.00,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Médio,,1.0,Bom,01/01/1942,0.6,2250.0,1198402.09,549.97,5374.78,Normal,Isencao 100% -  Imoveis da URB,Isencao 100% -  Imovel da URB,Municipal com uso de terceiros,0.0000,Pavimentado,1,1495,71,8,985,1160737,-34.885699,-8.051576
28/11/2015,Ativo,1164147,MUNICIPIO DO RECIFE,Predial,1.1495.095.03.0095.0000-7,AV VISCONDE DE SUASSUNA,RECIFE,PE,,56286,50050540,SANTO AMARO,658,AV VISCONDE DE SUASSUNA,RECIFE,PE,,50050540,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,21.50,Seca,Sim,Irregular,Sim,967.50,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Médio,,1.0,Bom,01/05/1958,0.639,778.0,575130.52,549.97,11694.47,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0000,Pavimentado,1,1495,95,3,95,1164147,-34.887353,-8.051485
29/11/2015,Ativo,1164155,MUNICIPIO DO RECIFE,Predial,1.1495.095.03.0110.0000-8,AV VISCONDE DE SUASSUNA,RECIFE,PE,,56286,50050540,SANTO AMARO,670,AV VISCONDE DE SUASSUNA,RECIFE,PE,,50050540,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,10.00,Seca,Sim,Irregular,Sim,624.00,,,,,,,Alvenaria,Hospital,Instituição Hospitalar,Médio,,1.0,Bom,02/01/1947,0.6,245.0,269262.47,756.94,11694.47,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0000,Pavimentado,1,1495,95,3,110,1164155,-34.887466,-8.051384
29/11/2015,Ativo,1179942,MUNICIPIO DO RECIFE,Predial,1.1550.030.01.0577.0000-4,PRC OSWALDO CRUZ,RECIFE,PE,,66761,50050210,SOLEDADE,400,PRC OSWALDO CRUZ,RECIFE,PE,,50050210,SOLEDADE,10.565.000/0001-92,50030230,Plana,Plana,15.43,Seca,Sim,Irregular,Sim,423.34,,,,,,,Alvenaria,Loja,Loja <= 4 Pavimentos,Simples,,1.0,Bom,01/01/1939,0.6,199.3,238159.84,550.12,11694.47,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1550,30,1,577,1179942,-34.891821,-8.05578
29/11/2015,Ativo,1197088,EMPRESA DE MANUTENCAO E LIMPEZA URBANA EMLURB,Predial,1.1550.080.02.0055.0000-0,RUA LUIZ BARBALHO,RECIFE,PE,00S/N,39756,50070120,BOA VISTA,,RUA LUIZ BARBALHO,RECIFE,PE,00S/N,50070120,BOA VISTA,11.497.013/0001-34,50070110,Plana,Plana,19.00,Seca,Sim,Irregular,Sim,893.00,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Simples,,1.0,Bom,01/01/1969,0.7649,687.03,477677.85,392.92,11694.47,Normal,Isenção 100% Lei 13535/79 Criação da Emlurb,Isenção 100  % Lei 13539/79 - Criação da Emlurb,Empresa Pública Municipal,0.0000,Pavimentado,1,1550,80,2,55,1197088,-34.895702,-8.056844
